ID.PRO,TIPO PRO,LOCALIZACION,TIPO,ITEM,CANT T,UNIDAD T,PRODUCTO,UNIDAD P,CANT P,SUBTOTAL P,CANT TOTAL P,UNIDAD P,CARACTERÍSTICAS,EQUIVALENCIA,PESOS20K,OBSERVACIONES P
1V11F479R,ARRENDAMIENTO,SANTAFE,RAIZ,CASA,1,AÑO,CASA,TERCIOS,3,12,36,AU 13K,,"0,65","23,4","“[…] una casa de teja mia en esta çiudad linde con casas de Baltasar Ximenez y Juan Fraile y dos calles rreales la qual vos arriendo por un año cunplido [...] a me pagar treinta y seis pesos de oro corriente marcado pagados a tres terçios de quatro en quatro meses [...]"""
1V11F479V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,2,AÑO,MANTA,,4,,,,,#N/A,,
1V11F479V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,2,AÑO,CAMISETA,,2,,,,,#N/A,,
1V11F479V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,2,AÑO,ALPARGATA,PAR,4,,,,,#N/A,,
1V11F479V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,2,AÑO,SOMBRERO,,1,,,,,#N/A,,
1V11F479V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,2,AÑO,COMIDA,,,,,,,#N/A,,
1V11F480R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,MANT. ALG.,COLORADA,2,,,,,#N/A,,
1V11F480R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,MANT. ALG.,BLANCA,2,,,,,#N/A,,
1V11F480R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,MAURES,,2,,,,,#N/A,,
1V11F480R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,BOTINES,PARES,2,,,,,#N/A,,
1V11F480R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,APRETADORES,LIENZO,2,,,,,#N/A,,
1V11F480R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,COMIDA,,,,,,,#N/A,,
1V11F480V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,MANT. ALG.,COLORADA,2,,,,,#N/A,,
1V11F480V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,MANT. ALG.,BLANCA,2,,,,,#N/A,,
1V11F480V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,BOTINES,PARES,2,,,,,#N/A,,
1V11F480V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,MAURES,,2,,,,,#N/A,,
1V11F480V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,COMIDA,,,,,,,#N/A,,
1V11F481R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,MANT. ALG.,BLANCA,,,,,,#N/A,,
1V11F481R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,MANT. ALG.,COLORADA,,,,,,#N/A,,
1V11F481R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,CAMISETA,,,,,,,#N/A,,
1V11F481R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,SOMBRERO,,,,,,,#N/A,,
1V11F481R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,ALPARGATA,PAR,,,,,,#N/A,,
1V11F481R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,COMIDA,,,,,,,#N/A,,
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,ESTAMEÑA FRAILESCA,VARAS,11,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,PAPELES IMAGENES,,15,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,BAYETA NEGRA CORDOBA,VARAS,5,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,RUAN DE FARDO,VARAS,22,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,SEDA PARDA Y NEGRA,VARAS,"11,5",,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,BOTONES DE SEDA,DOCENAS,5,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,TAFETAN PARDO,VARAS,1 Y ⅔,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,RUAN DE COFRE,VARAS,3,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,TAFETAN NEGRO,VARAS,6,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,MEDIAS DE RUAN,PARES,2,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,ALCAPARRAS,BARRIL,1,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,CINTAS,DOCENAS,4,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,HERRADURAS,,4,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,CARNE DE MEMBRILLO,PESOS,2,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,CARTILLAS,,5,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,JABON,PESOS,2,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F481V,OBLIGACION,SANTAFE,MERCANCIA,MERCADERIAS,15,MES,PAPEL,MANOS,3,,"113,875",AU 14K,,"0,699978046103183","79,71",
1V11F482R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,MANT. MARCA,COLORADA,2,,,,,#N/A,,
1V11F482R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,MANT. MARCA,BLANCA,2,,,,,#N/A,,
1V11F482R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,CHUMBES,,2,,,,,#N/A,,
1V11F482R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,BOTINES,PARES,2,,,,,#N/A,,
1V11F482R,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,COMIDA,,,,,,,#N/A,,
1V11F482V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,PESOS DE ORO,CORR MARC,6,6,6,AU 13K,,"0,65","3,9",
1V11F482V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,MANT. ALG.,BLANCA,8,,,,,#N/A,,
1V11F482V,ASIENTO,SANTAFE,TRABAJO,SERVICIO,1,AÑO,COMIDA,,,,,,,#N/A,,
