ID.PRO,NOT,VOL,FOL,DIA,MES,AÑO,LUGAR,ESCRIBANO,TIPO
1V11F479R,1,11,479R,11,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F479V,1,11,479V,11,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F480R,1,11,480R,12,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F480V,1,11,480V,12,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F481R,1,11,481R,12,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F481V,1,11,481V,12,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F482R,1,11,482R,13,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F482V,1,11,482V,13,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F483R,1,11,483R-483V,13,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F484R,1,11,484R,14,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F484V,1,11,484V,14,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F485R,1,11,485R,14,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F485V,1,11,485V,14,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F486R,1,11,486R,14,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F486V,1,11,486V,15,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F487R,1,11,487R,15,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F487V,1,11,487V,18,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F488R,1,11,488R,19,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F488V,1,11,488V,19,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F489R,1,11,489R,18,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F489V,1,11,489V,19,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F490R,1,11,490R-490V,19,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F491R,1,11,491R-491V,21,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,CONCIERTO
1V11F492R,1,11,492R,21,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F493R,1,11,493R-493V,22,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F494R,1,11,494R,22,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F494V,1,11,494V,23,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F495R,1,11,495R,23,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F495V,1,11,495V,25,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F496R,1,11,495V,25,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F497R,1,11,497R,27,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F497V,1,11,497V,27,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F498R,1,11,498R-498V,29,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F499R,1,11,499R,27,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F499V,1,11,499R,27,1,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F500R,1,11,500R-500V,5,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F501R,1,11,501R,6,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F502R,1,11,502R-502V,6,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F503R,1,11,503R,7,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F503V,1,11,503V,8,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F504R,1,11,504R,9,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F504V,1,11,504V,9,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F505R,1,11,505R,9,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,CONCIERTO
1V11F506R,1,11,506R,10,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F506V,1,11,506V,10,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F507R,1,11,507R-507V,11,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F508R,1,11,507R-507V,11,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F508V,1,11,508V-509R,12,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F509V,1,11,509V,17,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F510R,1,11,510R,17,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F511R,1,11,511R,17,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F511V,1,11,511V,19,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F512R,1,11,512R-514R,16,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F514V,1,11,514V,22,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F515R,1,11,515R,22,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F515V,1,11,515V,23,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F516R,1,11,516R,23,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F516V,1,11,516V-517R,24,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F517V,1,11,517V-518R,24,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F518V,1,11,518V-519R,26,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F519V,1,11,519V-520R,26,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F520V,1,11,520V,27,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F521R,1,11,521R,29,2,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F521V,1,11,521V,1,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F522R,1,11,522R,1,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F522V,1,11,522V,2,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F523R,1,11,523R,5,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F523V,1,11,523V-526R,5,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F526V,1,11,526V,5,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F527R,1,11,527R,5,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F527V,1,11,527V-528R,7,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F528V,1,11,528V,7,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F531R,1,11,531R-532V,8,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F534R,1,11,534R-534V,8,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F535R,1,11,535R-535V,9,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F536R,1,11,536R,12,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F536V,1,11,536V,14,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F537R,1,11,537R-537V,14,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F538R,1,11,538R-538V,14,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
