ID.PRO,NOMBRES Y APELLIDOS,GEN,POS,REL ESPACIO,ESPACIO,CONDICION,GRUPO,OFICIO,FIRMA,EDAD,POS2,CONDICION 2,ESPACIO 2 ,OTROS ,OBSERVACIONES
1V11F479R,JUAN BAUTISTA DE HERRERA,M,ARRENDADOR, ,,,,ESCRIBANO,, ,,,,,
1V11F479R,DIEGO DE LEON,M,ARRENDATARIO,VECINDAD,SANTAFE,,,CARPINTERO,, ,,,,,
1V11F479V,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F479V,GONZALO SANCHEZ DE ROBLEDO,M,PATRON, ,,,,ESCRIBANO,, ,,,,,
1V11F479V,HERNANDO ,M,TRABAJADOR, ,,MULATO,, ,, ,,,,,
1V11F480R,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F480R,FRANCISCA MALDONADO,F,PATRON, ,,,, ,, ,,,,,
1V11F480R,FRANCISCA ,F,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F480V,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F480V,JUAN BRICEÑO,M,PATRON, ,,,,CLERIGO,, ,,,,,
1V11F480V,CATALINA  ,F,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F481R,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F481R,JUAN SANCHEZ DEL AGUILA,M,PATRON, ,,,,CIRUJANO,, ,,,,,
1V11F481R,DIEGO ,M,TRABAJADOR, ,,INDIO,, ,, ,,,,,
1V11F481V,LUIS LOPEZ ORTIZ,M,ACREEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F481V,NICOLAS DE UGOLES,M,DEUDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F482R,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F482R,FRANCISCO RODRIGUEZ DE HUELVA,M,PATRON, ,,,,ALGUACIL,, ,,,,,
1V11F482R,YNES ,F,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F482V,FRANCISCO RODRIGUEZ DE HUELVA,M,OTROS, ,,,,ALGUACIL,, ,ASENTISTA,,,,
1V11F482V,JUAN DE SAN MIGUEL,M,PATRON,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F482V,JUAN  ,M,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F483R,PEDRO ESCLAVO,M,APRENDIZ, ,,ESCLAVO,,APRENDIZ,,12,,,,,
1V11F483R,JUAN DE ORTEGA,M,OTROS, ,,AMO,, ,, ,ASENTISTA,,,,
1V11F483R,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F483R,MIGUEL FRANCISCO,M,MAESTRO,RESIDENCIA,SANTAFE,,,SASTRE,, ,,,,,
1V11F484R,JUAN DE GUZMAN,M,ACREEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F484R,LUIS LOPEZ CARVAJAL,M,DEUDOR, ,,,,ESCRIBANO,, ,,,,,
1V11F484V,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F484V,PEDRO DE VICTORIA,M,PATRON,RESIDENCIA,SANTAFE,,,MAESTRO DE MUCHACHOS,, ,,,,,
1V11F484V,HERNANDO YNDIO DE TUNJA,M,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F484V,FRANCISCA YNDIA DE PASCA,F,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F485R,FRANCISCO RODRIGUEZ DE HUELVA,M,OTROS, ,,,,ALGUACIL,, ,ASENTISTA,,,,
1V11F485R,MARIA DE LEON,F,PATRON, ,,,, ,, ,,,,,
1V11F485R,LUISA YNDIA DE UBATE,F,TRABAJADOR, ,,INDIO,, ,, ,,LADINO,,,
1V11F485V,JUAN DE GUZMAN,M,ACREEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F485V,FRANCISCO RODRIGUEZ DE HUELVA,M,DEUDOR, ,,,,ALGUACIL,, ,,,,,
1V11F486R,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F486R,JUAN DE MORALES,M,PATRON, ,,,,PLATERO,, ,,,,,
1V11F486R,MARIA ROLDAN,F,TRABAJADOR, ,,MULATO,, ,, ,,,,,
1V11F486V,LUIS LOPEZ ORTIZ,M,ACREEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F486V,CATALINA DE CERDA,F,DEUDOR,VECINDAD,SANTAFE,VIUDA,, ,, ,,,,,
1V11F487R,FRANCISCO RODRIGUEZ DE HUELVA,M,OTROS, ,,,,ALGUACIL,, ,ASENTISTA,,,,
1V11F487R,JUAN DE MURCIA,M,PATRON,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F487R,PEDRO DE ARZUAGA,M,TRABAJADOR, ,,INDIO,, ,, ,,,,,
1V11F487V,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F487V,FRANCISCO DE LEON PERNIA,M,PATRON, ,,,, ,, ,,,,,
1V11F487V,CATALINA YNDIA DE TUNJA,F,TRABAJADOR, ,,INDIO,, ,, ,,,,,
1V11F488R,LUIS LOPEZ ORTIZ,M,ACREEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F488R,FRANCISCO DE ARDILA,M,DEUDOR,VECINDAD,SANTAFE,,,ARMERO MAYOR,, ,,,,,
1V11F488V,LUIS LOPEZ ORTIZ,M,ACREEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F488V,ESTEBAN DE OREJUELA,M,DEUDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F488V,DIEGO GARCIA,M,OTROS,VECINDAD,SANTAFE,,, ,, ,FIADOR,,,,
1V11F489R,RODRIGO DE TURICES,M,ACREEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F489R,FRANCISCO RODRIGUEZ DE LA ROSA,M,DEUDOR,VECINDAD,SANTAFE,,,CALCETERO,, ,,,,,
1V11F489V,LUIS LOPEZ ORTIZ,M,ACREEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F489V,JUAN DE GUZMAN,M,DEUDOR,VECINDAD,SANTAFE,,, ,, ,,,,,
1V11F490R,GASPAR DE SAZ,M,COMPRADOR,VECINDAD,SANTA AGUEDA,,, ,, ,,,,,
1V11F490R,GASPAR DE AGUILAR,M,VENDEDOR,VECINDAD, SAN JUAN DE LOS LLANOS,,, ,, ,,,,,
1V11F491R,VITORES DEL CASTILLO,M,PATRON,RESIDENCIA,SANTAFE,,,HERRERO,, ,,,,,
1V11F491R,JUAN LOPEZ,M,PATRON,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F491R,JUAN DE MONROY,M,TRABAJADOR, ,,MESTIZO,,HERRERO,, ,,,,,
1V11F492R,PEDRO BERNAL,M,ACREEDOR,RESIDENCIA,SANTAFE,,,TRATANTE,, ,,,,,
1V11F492R,HERNANDO DE SAUCEDO,M,DEUDOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F493R,DIEGO DE BERRIO,M,ACREEDOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F493R,CARLOS DE MOLINA,M,DEUDOR,VECINDAD,MARIQUITA,CAPITAN,, ,, ,,,,,
1V11F494R,DIEGO DE ORTEGA,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F494R,JUAN SANCHEZ DEL AGUILA,M,PATRON, ,,,,CIRUJANO,, ,,,,,
1V11F494R,FELIPA DE ALMEIDA,F,TRABAJADOR, ,,VIUDA,, ,, ,,,,,
1V11F494V,DIEGO DE ROBLES,M,APRENDIZ, ,,MESTIZO,,APRENDIZ,, ,,,,,
1V11F494V,PEDRO CHAMORRO,M,OTROS, ,,,,ALCALDE ORD.,, ,ASENTISTA,,,,
1V11F494V,FRANCISCO RAMIREZ,M,MAESTRO,RESIDENCIA,SANTAFE,,,ZAPATERO,, ,,,,,
1V11F495R,LUIS LOPEZ ORTIZ,M,ACREEDOR,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F495R,GASPAR DE AGUILAR,M,DEUDOR,VECINDAD, SAN JUAN DE LOS LLANOS,,, ,, ,,,,,
1V11F495R,LEONOR DE AGUIRRE,F,DEUDOR, ,,,, ,, ,,,,,
1V11F495V,JUANSETE DE LUGO,M,ARRENDADOR,RESIDENCIA,SANTAFE,,, ,, ,,,,,
1V11F495V,LUIS LOPEZ ORTIZ,M,ARRENDATARIO,VECINDAD,SANTAFE,,,MERCADER,, ,,,,,
1V11F495V,GONZALO GONZALEZ,M,OTROS,RESIDENCIA,SANTAFE,,, ,, ,APODERADO,,,,
